96.7,27.0%
95.6,27.3%
93.6,26.0%
96.3,27.3%
93.3,15.9%
93.1,25.7%
92.6,22.8%
95.5,31.5%
92.4,23.6%
95.8,26.9%
92.4,22.5%
95.2,25.5%
97.2,36.8%
92.7,25.5%
95.3,25.5%
94.7,31.1%
92.1,19.5%
94.9,29.2%
96.7,28.1%
95.8,20.2%
95.7,24.8%
94.3,23.5%
94.6,21.4%
95.7,24.6%
91.8,15.7%
93.4,21.4%
92.7,23.1%
93.1,21.9%
90.7,17.5%
94.9,25.6%
94.4,30.9%
92.8,18.8%
96.1,22.7%
92.9,24.3%
95.1,25.9%
91.2,16.0%
93.5,20.5%
92.2,25.9%
95.7,29.1%
95.7,26.8%
93.4,21.5%
90.5,19.4%
92.3,29.3%
91.8,24.6%
94.5,25.0
93.1,22.8%
89.7,16.8%
93,19.6%
95.5,19.8%
90.9,19.0%
92.5,23.6
94.3,21.5%
94.3,26.1%
92.9,26.5%
93.3,20.7
93.7,21.4%
88.4,19.6%
95.8,20.3%
90.8,23.7%
93.7,28.0
95,26.0%
90.1,18.9%
95.2,22.7%
88.8,13.9%
91.9,22.5%
95.7,21.7
94.6,31.2%
93.4,23.2%
94.3,17.8
94.4,15.5%
91.3,25.3%
94.9,24.1%
96.5,17.8%
94,19.4%
94.9,18.5%
95.1,22.9
91.8,15.3%
92,22.4%
89.5,16.4%
94.7,24.6%
92,20.7
93,17.4%
90.6,14.4%
94.5,18.7%
91.4,22.2%
87.8,16.1%
97.4,25.1
94.3,20.0%
93.6,25.6%
96.8,31.5%
95.1,22.2%
98.3,30.5
94.7,25.9%
93.6,25.7%
90.7,26.2%
93.4,22.0%
93.2,21.3
91.8,23.0%
92.7,26.0%
99,23.6%
91.3,20.1%
96.1,21.4%
92.8,20.0
93.4,19.9%
92.5,24.9%
92.7,26.1%
96.4,33.4%
91.9,22.4
90.4,16.1%
94.1,21.8%
93.4,20.0%
92.7,24.3%
96.1,28.0%
96.8,25.8%
96.2,27.2%
85.7,11.4%
91.9,15.9
93.3,23.0%
94.8,24.4%
93.9,21.4%
93.1,20.9%
93.8,13.1%
91.5,17.3%
91,27.3
95.2,24.6%
92.8,19.0%
94.7,29.5%
93.9,29.4%
92.4,18.9%
92.3,25.7%
96.5,18.9%
93.7,22.3%
93.6,22.1%
92.7,15.8%
96.5,28.8%
92.6,16.4%
93.1,24.3%
93.2,18.9%
97.5,28.9%
89.3,19.1%
92.5,16.6%
94.3,21.9%
96.2,20.0%
92.1,24.2%
93.5,15.1%
92.5,18.4%
93.2,18.9%
95.1,25.1%
92.8,15.4%
93.3,17.2%
95.8,19.4%
87,17.8%
98.4,23.3%
92.2,14.3%
90.7,16.8%
94.4,20.2%
93.9,26.2%
92.1,17.6%
95.7,23.5%
90.6,20.6%
96,22.3%
93.4,30.8%
93.1,24.0%
92.8,33.3%
93,17.1%
94.2,24.9%
92.9,14.4%
94.1,19.5%
91.1,12.7%
98.1,34.7%
94.7,19.2%
90.7,17.3%
93.5,23.1%
92.2,20.2%
89.3,14.2%
96.1,26.5%
99.1,25.7%
94,25.7%
93.5,28.6%
90.2,18.8%
93.7,25.0%
98.1,32.3%
93.9,22.7%
95.8,32.9%
95.2,21.7%
97.6,34.8%
96.8,33.9%
98.2,29.9%
93,26.4%
91.5,22.8%
94.6,23.7%
92.5,25.1%
95.4,23.9%
93.4,15.8%
91.4,24.1%
93.6,25.1%
94.5,30.1%
93.6,19.4%
94.8,24.2%
96,27.4%
94.3,18.2%
96.1,14.2%
97.9,31.0%
95.3,22.4%
86,18.8%
94.9,25.5%
97.1,27.8%
93.9,17.4%
82.8,19.4%
95.8,33.8%
98.5,21.2%
94.3,35.1%
95.4,26.8%
100.3,28.4%
95.9,23.4%
92.6,19.7%
97.3,21.9%
96.6,28.9%
96,28.0%
94.6,29.2%
93.1,16.4%
93,28.2%
95.3,25.1%
92.3,20.4%
95.9,32.5%
95,24.6%
89.2,17.4%
94.8,29.7%
95.1,16.7%
96.4,22.3%
93.8,29.0%
91.6,25.2%
94.8,24.4%
91.9,20.3%
95.8,25.9%
95.8,31.5%
95.8,23.8%
94.2,16.7%
93.7,28.6%
94.2,27.9%
93.6,31.5%
95.7,27.6%
98,27.1%
98.1,19.9%
97.4,22.8%
96.5,24.8%
95,21.9%
96.7,22.8%
95.8,29.3%
96.1,36.8%
93.4,22.4%
88.3,27.0%
92.2,32.1%
92.9,22.1%
95.4,25.8%
89,23.4%
94.1,25.4%
94.7,27.6%
93.1,23.8%
96,27.1%
93.8,29.6%
91.3,17.5%
96.6,23.0%
96.9,19.9%
96.8,22.4%
99,41.4%
92.6,20.0%
92.1,27.6%
94.9,22.2%
95.4,26.3%
88.1,16.3%
99.5,46.4%
95.8,26.2%
89.7,25.9%
96.2,28.9%
93.3,23.8%
95.1,28.8%
90.4,21.8%

